nctId,Cluster,PCA1,PCA2,Combined_Text,Top_10_words_text
nct06398522,1,0.05628699378800791,0.009662761191456096,butyrate steatosis liver nafld gluconate zinc bologna d3 metabolic syndrome,"butyrate, steatosis, liver, nafld, gluconate, zinc, bologna, d3, metabolic, syndrome"
nct06693635,0,-0.03325386600204985,0.07060495531988902,implant segmentation ai planning moro aldo derivation software bari nafld,"implant, segmentation, ai, planning, moro, aldo, derivation, software, bari, nafld"
nct06475885,6,-0.04987592096410696,-0.08625303630559251,massage depression postpartum postnatal infant edinburgh maternal attachment baby 14th,"massage, depression, postpartum, postnatal, infant, edinburgh, maternal, attachment, baby, 14th"
nct06623214,7,0.16302351657654557,-0.03481922847589055,treatment wrinkle nebulyft subjects discretion 39 wrinkles investigator ms tmao,"treatment, wrinkle, nebulyft, subjects, discretion, 39, wrinkles, investigator, ms, tmao"
nct06687915,2,-0.00689923246035163,-0.12572865463090124,balance visually individuals coordination impaired visual congenitally healthy acuity timolol,"balance, visually, individuals, coordination, impaired, visual, congenitally, healthy, acuity, timolol"
nct06407414,2,-0.10135704815474847,-0.13622316483026548,patellofemoral kujala knee exercise neuromuscular program balance scales scoring uskudar,"patellofemoral, kujala, knee, exercise, neuromuscular, program, balance, scales, scoring, uskudar"
nct06429046,4,-0.07483997195585211,0.11099339114139053,prostate biopsy lidocaine transrectal gel pain cold rectal ultrasound intrarectal,"prostate, biopsy, lidocaine, transrectal, gel, pain, cold, rectal, ultrasound, intrarectal"
nct06630533,2,-0.05320372067129213,-0.17568586659761581,baduanjin balance individuals chi tai exercise elderly eight qigong aging,"baduanjin, balance, individuals, chi, tai, exercise, elderly, eight, qigong, aging"
nct06517433,8,0.18792983944210878,0.08561578675486921,platinum xmt 1536 uplift cancer dose ovarian escalation napi2b rilsodotin,"platinum, xmt, 1536, uplift, cancer, dose, ovarian, escalation, napi2b, rilsodotin"
nct06688474,1,-0.01971528242068721,0.0018823341619161901,otis guard night custom force bruxism clenching sensor compression forces,"otis, guard, night, custom, force, bruxism, clenching, sensor, compression, forces"
nct06631651,3,-0.060862032262641745,0.030266968267676924,brachioradialis radius release distal 124 pinch elbow fractures patients wrist,"brachioradialis, radius, release, distal, 124, pinch, elbow, fractures, patients, wrist"
nct06619665,2,0.01957719857251835,-0.1417441441704534,6552 mk training intensive deprived strength short whey term healthy,"6552, mk, training, intensive, deprived, strength, short, whey, term, healthy"
nct06683859,3,-0.02606196080645214,0.06117459750473139,variants pns sinuses paranasal anatomical nasal cells cavity ct nasi,"variants, pns, sinuses, paranasal, anatomical, nasal, cells, cavity, ct, nasi"
nct06683079,3,0.017807244924414198,0.038817694272518355,colloids crystalloids fluid gdt infusion colloid starch ringer coagulation hydroxyethyl,"colloids, crystalloids, fluid, gdt, infusion, colloid, starch, ringer, coagulation, hydroxyethyl"
nct06591403,1,0.03314816843825642,-0.06462366824783049,fingers 17a saturation otago oxygen oximeter positions sim0270 60mg peripheral,"fingers, 17a, saturation, otago, oxygen, oximeter, positions, sim0270, 60mg, peripheral"
nct06677853,7,0.12000466290435326,-0.011978689764835833,infant hemangioma subjects ih infantile timolol maleate w24 game gel,"infant, hemangioma, subjects, ih, infantile, timolol, maleate, w24, game, gel"
nct06692387,2,-0.01862768016997488,-0.13814293893782006,smartphone step hamper fgf pd increase pilot parkinson app count,"smartphone, step, hamper, fgf, pd, increase, pilot, parkinson, app, count"
nct06573775,4,-0.07393704507522321,-0.001828714472822587,phonophoresis taut palpable pain frailty trapezius myofascial frail lidocaine quality,"phonophoresis, taut, palpable, pain, frailty, trapezius, myofascial, frail, lidocaine, quality"
nct06713278,1,-0.06381156533594672,-0.01606728297860539,fms masseter tension fibromyalgia headache headaches thickness type intracameral slot,"fms, masseter, tension, fibromyalgia, headache, headaches, thickness, type, intracameral, slot"
nct06548815,8,0.24821979421131574,-0.0008694842425078156,gzr4 bleeding mawangdui hematospermia rectal dysuria antibody hematuria tolerability icu,"gzr4, bleeding, mawangdui, hematospermia, rectal, dysuria, antibody, hematuria, tolerability, icu"
nct06652308,3,0.0019472570227264082,0.0037178473001251346,mood ms bipolar disorders sclerosis unipolar multiple tehran patients disorder,"mood, ms, bipolar, disorders, sclerosis, unipolar, multiple, tehran, patients, disorder"
nct06666244,1,-0.013688409832389588,-0.007591200582163846,carbohydrate quality postmenopausal 604 menopausal menopause food women frequency menqol,"carbohydrate, quality, postmenopausal, 604, menopausal, menopause, food, women, frequency, menqol"
nct06447857,3,0.030057686778122775,0.0612359393928634,ecv noaf fibrillation atrial infarction ppci myocardial cmr integral ecg,"ecv, noaf, fibrillation, atrial, infarction, ppci, myocardial, cmr, integral, ecg"
nct06519864,2,-0.018137531013296165,-0.07236746735335808,stance tandem fall physical therapist azure kinect test screws validity,"stance, tandem, fall, physical, therapist, azure, kinect, test, screws, validity"
nct06409507,3,0.013681140501602239,0.06980784158903587,sirolimus fkbp12 hcc transplantation recipients lt hangzhou hepatocellular liver expression,"sirolimus, fkbp12, hcc, transplantation, recipients, lt, hangzhou, hepatocellular, liver, expression"
nct06551779,3,0.017193249501681367,0.03777777156209137,perineural dextrose facial bell dihydrochloride sapropterin paralysis palsy patients critic,"perineural, dextrose, facial, bell, dihydrochloride, sapropterin, paralysis, palsy, patients, critic"
